#,Question,Correct,Wrong,Wrong,Wrong,Wrong,
69,Mozart: In what bar does part 3 of the development begin?,Bar 90,Bar 82,Bar 88,Bar 102,Bar 92,
70,Mozart: By how much higher is each sequence than the model at the beginning of part 3 of the developement?,A perfect fourth,A perfect fifth,An octave,A tone,Out of the audible spectrum,
71,Mozart: The first two sequences in part 3 of the development express what cadence type?,V7-I,IV-I,I-V7,vi-vii,All of the above,
72,Mozart: What happens at bars 92-93 instead of the expected V7-I?,V7-VI,Viola,V7-I,I-V7,Vi7-vi,
73,Mozart: What key does the new theme in part 3 of the development work towards (at bars 93-97)?,D major,A major,B minor ,C major,All of the above,
74,"Mozart: The exposition's closing section is heard again at bars 97-100, but it is in which key?",D major,D minor,A major,B minor,E major,
75,Mozart: What is part 4 of the development usually called?,Retransition,Transition,Closing section ,End bit,The end of an old life but the beginning of a new one,
76,Mozart: What happens in part 4 of the development harmonically?,The dominant harmony in the tonic key is introduced,The subordinate melody in the tonic key is introduced,The subordinate themes are repeated in the harmonic parts,The dominant harmony in the dominant key is introduced,It has a solo,
77,Mozart: What two kinds of variation to the exposition can be expected in the recapitulation?,Decorative and Structural,Structural and Exploratory,Decorative and Festive,Notational and Structural,All of the above,
78,Mozart: What are decorative changes?,Variations to expression; no material change,Variations to material; no expressional change,Setting up a Christmas tree,Any substantially new or altered material,Ornamentations and trills added for interest,
79,Mozart: What are structural changes?,Any substantially new or altered material,Changes to the layout of the section,Different ideas replacing the old ones,Variations to expression; no material change,Like when a banana is genetically edited to become a pineapple,
80,"Mozart: The plan of the recapitulation is fairly similar to the plan of the exposition, except for what key difference?",Everything is now in the tonic,Everything is now in the dominant,Everything is now in a minor key,The structure of them are completely different,Its at the end instead of the beginning,
81,Mozart: What and where is the only difference in the main theme in the recapitulation?,"At bar 116, additional one-bar unit presented","At bar 118, additional one-bar unit presented","At bar 116, additional two-bar unit presented","At bar 120, additional four-bar unit presented",There is no difference,
82,Mozart: What is the main alteration in the transition of the recapitulation?,"A structural change at bar 123, which allows the rest of the transition to be in the tonic key","A decorative change at bar 123, which allows the rest of the transition to be in the tonic key",yeetus to the foetus,"A structural change at bar 125, which allows the rest of the transition to be in the tonic key","The key is changed, meaning that the listener is thrown off",
83,Mozart: Are there any surprises in the first subordinate theme in the recapitulation?,No,Yes,Maybe,None of the above because there is no such thing as a subordinate theme,Definitely possible but no because everything is not possibly definite,
84,Mozart: Are there any surprises in the second subordinate theme in the recapitulation?,Yes,No,Maybe,None of the above because there is no such thing as a subordinate theme,Definitely possible but possibly maybe because everything is not possibly definite,
85,Mozart: Does the closing section of the recapitulation differ from the closing section of the exposition and how?,"Yes, with some changes to octave reiger and two additional repeats of motive b","Yes, with some changes to the key and notation",No it doesn't,"Yes, it contains different melodic ideas",What's a closing section,
