#,Question,Correct,Wrong,Wrong,Wrong,Wrong
33,Schubert - How does the piano foreshadow the singer's line?,In the four-bar introduction by playing the melody in RH,In the four-bar introduction by playing the melody in LH,In the eight-bar introduction by playing the melody in RH,In the ten-bar introduction by playing the melody in RH,
34,Schubert - What is/are the predominant key(s) of the song?,F major and F minor,E flat major and E flat minor,G major and G minor,D major and D minor,
35,Schubert - Which of the following keys are not used as [at least] brief modulations?,D minor,C minor,B flat major,E flat minor,
36,"Schubert - What does the ""D"" in D.911 mean?",The catalogue of Schubert's works made by Otto Deutsch,A form of cataloguing created by Ottoman Deutsch,Dani :)),The catalogue of Schubert's works made by Otto Dutch,
37,"Schubert - What does the ""911"" in D.911 mean?","It is his 911th work, ordering chronologically",Jet Fuel conspiracy theories.,It is his 911th individual song/piece,"It is his 911th work, ordering alphabetically",
38,What does Schnell mean?,Fast,Slow,Very fast,Not too fast,
39,What does Etwas bewegt mean?,With some movement,With much movement,With very little movement,With no movement,
40,What does Langsam mean?,Slow,Fast,Not too slow,Very slow,
41,Schubert - What keys were the song originally written in?,A major and A minor,F major and F minor,G major and G minor,E flat major and E flat minor,
42,Schubert - Why was the song transposed?,To suit a lower voice,To suit a higher voice,Because they felt like it,So it was more accessible to all voices,
43,Schubert - What is the meter of Stanzas A?,06-Aug,02-Apr,03-Aug,03-Apr,
44,Schubert - What is the meter of Stanzas B?,06-Aug,02-Apr,03-Aug,03-Apr,
45,Schubert - What is the meter of Stanzas C?,02-Apr,06-Aug,03-Aug,03-Apr,
46,Schubert - What is the key of Stanzas A?,F major,F minor,E flat major,G major,
47,Schubert - What is the key of Stanzas B?,F minor,F major,E flat minor,E flat major,
48,Schubert - What is the key of Stanzas C?,F major - F minor,E flat major - E flat minor,G major - G minor,,
49,Schubert - Describe the harmony of Stanzas A.,"Settled, diatonic, often using the tonic chord","Unsettled, chromatic, frequent key changes",Sometimes irresolute (questioning),"Settled, diatonic, rarely using the tonic chord",
50,Schubert - Describe the melodic style of Stanzas A.,"Flowing and carefree, often using the siciliana rhythm, with some rising leaps","Agitated repeated notes, rising semitones, wide leaps (mostly descending)","Simple (mostly quavers, narrow pitch range) then sad (minor key, wider pitch range)","Flowing and carefree, often using melismas, with few leaps",
51,Schubert - Describe the accompaniment of Stanzas A.,Flowing broken chords in continuous triplet rhythm,Arpeggiated chords,Throbbing chords and broken octaves,Flowing block chords in continuous triplet rhythm,
52,How is Schubert's type of strophic form different from simple strophic form?,"Schubert uses the same music for each group of stanzas (1&4, 2&5, 3&6) rather than for every stanza",Schubert uses different music for each stanza,"Schubert uses the same music for each group of stanzas (1&2, 3&4, 5&6) rather than for every stanza","Schubert uses the same music for each group of stanzas (1&2&3, 4&5&6) rather than for every stanza",
53,Schubert - Describe the harmony of Stanzas B.,"Unsettled, chromatic, frequent key changes","Settled, diatonic, often using the tonic chord",Sometimes irresolute (questioning),"Unsettled, chromatic, infrequent key changes",
54,Schubert - Describe the melodic style of Stanzas B.,"Agitated repeated notes, rising semitones, wide leaps (mostly descending)","Flowing and carefree, often using the siciliana rhythm, with some rising leaps","Simple (mostly quavers, narrow pitch range) then sad (minor key, wider pitch range)","Agitated repeated notes, rising semitones, narrow leaps (mostly descending)",
55,Schubert - Describe the accompaniment of Stanzas B.,Throbbing chords and broken octaves,Arpeggiated chords,Flowing broken chords in continuous triplet rhythm,Detached block chords and octaves,
56,Schubert - Describe the harmony of Stanzas C.,Sometimes irresolute (questioning),"Settled, diatonic, often using the tonic chord","Unsettled, chromatic, frequent key changes",Very resolute and unquestioning,
57,Schubert - Describe the melodic style of Stanzas C.,"Simple (mostly quavers, narrow pitch range) then sad (minor key, wider pitch range)","Agitated repeated notes, rising semitones, wide leaps (mostly descending)","Flowing and carefree, often using the siciliana rhythm, with some rising leaps","Sad (minor key, narrow pitch range) then simple (mostly quavers, wider pitch range)",
58,Schubert - Describe the accompaniment of Stanzas C.,Arpeggiated chords,Flowing broken chords in continuous triplet rhythm,Throbbing chords and broken octaves,Block chords,
