#,Question,Correct,Wrong,Wrong,Wrong,Wrong
25,Schubert: What caused composers to elevate the piano's role to support the text in Lied?,The capacity for the piano to provide a level of inflection and subtlety not achievable on harpsichord,The capacity for the harpsichord to provide a level of inflection and subtelty not achievable on a piano,The ability of the piano to play a variety of note durations and dynamics not achievable on a harpsichord,The way the piano is able to play in a much larger range not achievable on harpsichord,The ability to open the lid of the piano which is a cool function
26,Schubert: Who was the first composer to realise the potential for a fusion of German poetic setting and sophisticated accompaniment,Schubert,Mozart,Bach,Finzi,Xi Jinping
27,Schubert: How many Lieder did Schubert compose in his career?,Over 600,Over 800,Under 100,Under 600,Over 1000
28,Schubert: How are song cycles unified?,"All the songs are composed by the same composer, words from same poet, and have references to a particular theme or tell the same story","All the songs were composed by the same composer but the words were from different poets, and the dynamics were the same","The songs were composed by different composers and the words are composed by different poets, and the story is different","A binder, maybe some paper clips or staples","By recurring motifs and ideas, also by using the same modes/keys"
29,Schubert: Who was the first composer to link individual Lieder together into unified collections?`,Beethoven,Mozart,Finzi,Schubert,Xi Jinping
30,Schubert: What was Beethoven's first song cycle?,An die ferne Geliebte Op. 98,Seufzer eines Ungeliebten - Gegenliebe WoO 118,"Liederkreis, Op. 39",Dichterliebe,"The Dark Side of the Moon, Op. Pink Floyd"
31,Schubert: How many different approaches to a song cycle emerged?,Two,Three,Four,One,Ten
32,Schubert: What was Beethoven's approach to song-cycles?,Link the songs  by explicit recollection of musical motives between certain of the individual numbers,Link the songs by using a consistent range of dynamics and expressive techniques throughout the songs,Link the songs through the use of musical ideas that remained the same throughout every song,Present the songs as musically independent numbers and allow the narrative relationship to be more implicit,Link the songs as musically reliant variables on the dominant seventh dimished chord of the tonic mode major key
33,Schubert: What was the non-Beethoven approach to song-cycles?,Present the songs as musically indepenedent numbers and to allow the narrative relationship to be more implicit,Link the songs by explicit recollection of musical motifs between certain of the individual numbers,Link the songs through the use of musical ideas that remained the same throughout every song,Present the songs as musically dependent numbers and allow the narrative relationship to be more implicit,Link the songs as musically reliant variables on the dominant seventh dimished chord of the tonic mode major key
34,Schubert: Which approach to song cycles was favoured by Schubert?,The non-Beethoven one,The Beethoven one,"Both of them, because Franz likes variety","Neither, because he brought about a third style that was his own and more obscure",The Mozart one
35,Schubert: When was Winterreise composed?,1828,1928,1826,1905,2020
36,Schubert: Did Wilhelm Müller consider the poems as a cycle?,Yes,No,Maybe,Probably,Why not
37,Schubert: In which perspective is the poem told from?,First person,Second person,Third person,Fourth person,Patient zero
38,Schubert: How is the poet introduced in the set of poems?,"Leaving a village, passing the gate of his lost love he won in spring but has now lost","Leaving a village, passing the bakery at which he always used to buy bread from","Entering a village, passing the gate of his lost love he won in spring but has not lost","Leaving a village, passing his home where many memories were created","Entering a village, smelling the delicious smells of baked bread and the pretty sights"
39,Schubert: In which sense is the poet on a journey?,Physical and psychological,Physical and spiritual,Spiritual and psychological,Environmental and psychological,Biological and psychological
40,Schubert: What is an idea in the text that Müller constantly returns to?,Constrast between illusion and reality,Contrast between Spring and Winter,Contrast between walking and sitting,Contrast between dreams and nightmares,Contast between love and loneliness
41,Schubert: What kind of attitude does the poet have?,He is an outcast who will wander in solitude and never know companionship,He is highly likeable and will always have the companionship and love from others,He is an outcast who will wander in companionship and love,He is an extrovert who will wander in solitude and never know companionship,He is an outcast who has many friends and his highly likebale
42,Schubert: How is the higher awareness on the part of the poet expressed?,He refers to the dreams of others and he knows the cold reality that awaits everyone,He refers to the dreams of higher beings and knows the cold reality that awaits everyone,He refers to the dreams of others and he knows the pleasant reality that awaits everyone,He refers to his own dreams and can see the future that awaits everyone,The poet is able to see the cold reality that awaits everyone through his own dreams
43,Schubert: What kind of rhyme scheme does Frühlingstraum have?,abcabc,aabaac,ababab,abcdab,aabbabababaaabbabababbabababbaababbabababababbababbab
44,Schubert: What is the poet trying to promote in the text?,A folk-like simplicity and artlessness,A folk-like complexity and artfulness,The simplicity of the text,A city-like complexity and thoughtfulness,A city-like simpleness and artlessness
45,"Schubert: In some songs in the set Winterreise, the poet dreams himself, and awakens to a harsh reality. Is this the case in Frühlingstraum?",Yes,Maybe,"I don't know, you tell me",Most likely,It is possible
46,Schubert: How many quatrains does Frühlingstraum contain?,6,8,4,2,1
47,Schubert: Each line in the poem comprises a loose what?,Iambic trimeter,Iambic pentameter,Grip on reality,Iambic dimeter,Iambic tetrameter
48,Schubert: How can the poetic meter throughout the poem be described?,Simple and consistent,Complex and irregular,Complex and unpredictable,Simple yet unpredictable,Complex and consistent
49,Schubert: How are the lines grouped?,In pairs,In threes,In fours,In groups of ten thouSAND MILLION BILLION TRILLION GAZILLION,Individually
50,Schubert: How many metric feet are there in each line?,Three,Two,Four,Seventeen,"Eleven thousand, nine hundred and eighty-four point three"
51,Schubert: What do the metric feet in most cases consist of?,iambs (unstressed-stressed),amphibrach (unstressed-stressed-unstressed),pyrrhic (unstressed-unstressed),dactyl (stressed-unstressed-unstressed),anapest (unstressed-unstressed-stressed)
52,"Schubert: In the first line of each pair, the final foot is what?",amphibrach (unstressed-stressed-unstressed),iambs (unstressed-stressed),pyrrhic (unstressed-unstressed),dactyl (stressed-unstressed-unstressed),anapest (unstressed-unstressed-stressed)
53,What renders the metre loose rather than strict?,Short additional syllables,Long additional syllables,Medium-lenght additional syllables,A shortage of syllables in some places,A surplus of unnecessary syllables
54,Schubert: Does the two-line metric preocess apply throughout the entire verse?,Yes,No,Maybe,Probably NOT,Huh
55,Schubert: What are melismas?,A group of notes sung to one syllable,A group of syllables placed on one note,A group of notes sung on a group of syllables,A group of notes sung on two syllables,A syllable sung on a note
56,Schubert: What does syllabic mean?,One syllable per note,Two sylllables per note,Three syllables per note,Two notes per syllable,One syllable per three notes
57,Schubert: What do the quatrains marked A (1 and 4) symbolise?,"Spring, birds and flowers, blossoming love",A quatrain,"Cold reality of WInter, harsh calls of birds","Yearning to return to dream state, despair that is all illusion",The harsh reality of the seasonal cycle
58,Schubert: What do the quatrains marked B (2 and 5) symbolise?,"Cold reality of Winter, harsh calls of birds","Spring, birds and flowers, blossoming love",A quatrain,"Yearning to return to dream state, despair that is all illusion",The harsh reality of the seasonal cycle
59,Schubert: What do the quatrains marked C (3 and 6) symbolise?,"Yearning to return to dream state, despair that all is illusion","Spring, birds and flowers, blossoming love","Cold reality of Winter, harsh calls of birds",A quatrain,The harsh reality of the seasonal cycle
60,Schubert: How many times does the poem cycle through the dream-reality-longing (ABC)?,2,3,1,4,So many times you're gonna lose count :)
61,Schubert: What bars is Section A?,Jan-14,15-26,Feb-15,26-44,Jan-16
62,Schubert: What bars is Section B?,15-26,13-25,44-43,15-28,Jan-14
63,Schubert: What bars is Section C?,27-44,15-26,Jan-14,25-44,27-45
64,Schubert: How does Schubert delineate the contrasts between the different sections?,"Changes of key/mode, tempo, style, metre","Changes of key/mode, dynamics, style, texture",Change of dynamics and tempo but not expressive techniques,"Expressive techniques, dynamics, key/mode, tempo","Style, mode, metre, dynamics"
65,Schubert: What do major modes represent in this song?,"Dreaming, spring, warmth, love","Reality, winter, coldness, loneliness","Reality, summer, heat, companionship","Dreaming, winter, warmth, loneliness","Spring, coldness, loneliness, love"
66,Schubert: What do minor modes represent in this song?,"Reality, winter, coldness, loneliness","Dreaming, spring, warmth, love","Reality, summer, heat, companionship","Dreaming, winter, warmth, loneliness","Spring, coldness, loneliness, love"
67,"Schubert: Which section comes closest to adopting a direct, folk song-like style?",Section A,Section B,Section C ,Section D,Sections A and B
68,Schubert: The material in section A is almost entirely...,Diatonic,Chromatic,Minor,Gone,Changed
69,Schubert: The material in section A is cast in how many simple phrases?,2,4,6,8,1
70,Schubert: What does etwas bewegt mean?,With some movement,tgeweb sawte,With patience,With movement,Slightly faster
71,Schubert: How does the piano accompaniment foreshadow the singer's line in Section A?,A brief four-bar introduction,A brief two-bar introduction,A brief one-bar introduction,A brief six-bar introduction,A brief eighteen-bar introduction
72,Schubert: What is siciliana?,A slow musical style with lilting rhythms resembling a slow jig,A type of pizza,A fast musical style with syncopated rhythms resembling a rondo,A slow musical style with even rhythms resembling a waltz,A fast musical style that has irregular rhythms resembling a six year old learning the piano
73,Schubert: What kinds of themes are siciliana rhythms usually associated with?,Nature and simple bucolic life,Buildings and complicated city life,Nature and complex bucolic life,"Margherita, meat lovers, Hawaiian, pepperoni",Simple country life and farms with cows
74,Schubert: Where can a simple period be detected in Section A?,Antecedent (bars 5-8) and consequent (bars 9-14),Consequent (bars 5-8) and antecedent (bars 9-14),From bars 4-15,Antecedent (bars 9-14) and consequent (bars 15-21),Antecedent (bars 6-9) and consequent (bars 10-15)
75,Schubert: How does Section B contrast to Section A?,"Tempo increase, key change, mode becomes minor, accompaniment more staccato","Key change, mode becomes major, accompaniment more legato, tempo decrease","Tempo increase, key change, mode becomes major, accompaniment more staccato","Tempo decrase, key change, mode becomes minor, accompaniment more legato","Tempo increase, key change, key becomes minor, accompaniment more staccato"
76,Schubert: What is sustained in the piano part by a tonic pedal in section B?,A low tremolo,A high tremolo,Basso continuo,Slash chords,An inappropriate accomapniment
77,Schubert: What do the triplet figures marked x in section B act as?,Jolts that destablise dream equilibrium,Jolts that reinforce the dream equilibrium,Jolts that make the listener pee their pants,Jolts that destablise the Winter reality,Lead-ins to the next bars
78,Schubert: What does schnell mean?,Fast,Slow,Walking,Medium,Speeeeeeeeeeeeeeeeeeeeed
79,Schubert: What are augmented 6th chords?,Chromatic chords which resolve to the dominant or sometimes the tonic,Chromatic chords which resolve to the tonic or sometimes the dominant,The 6th is augmented (duh),Diatonic chords which resolve to the dominant or sometimes the tonic,Diatonic chords which resolve to the tonic or sometimes the dominant
80,Schubert: How are augmented 6th chords constructed?,On the minor 6th degree of the scale and always include a note an augmented 6th above that,On the major 6th degree of the scale and always include a note an augmented 6th above that,Intervals of minor 6ths piled on top of each other,On the minor 6th degree of the scale and always include a note an augmented 2nd above that,On the major 6th degree of hte scale and always include a note an augmented 2nd above that
81,Schubert: The triplet figures marked x in section B involve inversions of what chord?,The French augmented 6th chord,The German augmented 6th chord,The Italian augmented 6th chord,The French augmented 2nd chord,The French suspended 6th chord
82,Schubert: What is the Neopolitan 6th in bar 23?,A supertonic triad constrcuted on the lowered 2nd degree,A supertonic triad constructed on the lowered 6th degree,A supertonic triad constructed on the 5th degree,A supertonic fourth constructed on the 5th degree of the 6th mode of the dominant 7th chord,The 6th flavour of Neopolitan ice-cream
83,Schubert: Does chromatic writing continue over the tonic pedal in bars 22-26?,Yes,No,Maybe,Possibly,Probably
84,"Schubert: What feeling is created by the rapid modulation, chromatic harmony, minor-mode colouring and angular accompaniment in Section B?","A powerful sense of disturbance, disorientation and distress - waking up from a dream","A powerful sense of reassurance, sleepiness and calmness - like falling asleep","A powerful sense of disturbance, disorientation and distress - playing a note during a rest in an orchestra","A powerful sense of disturbance, disorientation and distress - waking up from a dreamless sleep","A powerful sense of reassurance, sleepiness and calmness - like eating chocolate"
85,Schubert: What does langsam mean?,Slow,Fast,Medium,Turtle,Speeeeeeeeeeeeeeeeeed
86,Schubert: What meter does Section C introduce?,Simple duple,Simple triple,Simple quadruple,Compound duple,Compound triple
87,Schubert: What helps to set up a sense of stillness in section C after the agitation from section B?,A new accompaniment pattern that remains quite constant,A new accompaniment pattern that varies a lot,A reused accompaniment pattern that remains quite constant,A new accompaniment that is constant in some parts and different in others,An old accompaniment pattern that was drawn from a different song
88,Schubert: The first two lines of text in Section C appear with a return to what key?,The tonic major,The tonic minor,The relative minor,The dominant major,The subdominant major
89,"Schubert: The first two lines in Section C are repeated, but what happens to the expected strong perfect cadence at bar 36?",It is withheld,It is played as expected,It is played and then repeated,It is withheld and played two bars later,"It is played as unexpected, because they read the sheet music upside down"
90,"Schubert: The arrival of the tonic in the bass is delayed until the final cadence in Section C, but what has changed regarding the mode?",The mode is now minor,The mode is now major,The mode is now diminished,The mode is now dominant7,The mode is now dark mode (iOS 14 feature)
91,Schubert: How can the closure of Section C be described?,Soaked with a feeling of loss and despair,Soaked with maple syrup like a pancake,Soaked with a feeling of happiness and completion,Soaked with a feeling of resentment and anger,Epic
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,is leo fat,,,,,
