#,Question,Correct,Wrong,Wrong,Wrong,Wrong
21,What is a through-composed song?,No substantial repitition of music for each stanza,Each stanza is set to the same music,A song without words,A very thoroughly composed piece of music,A song that has little to no repitition in it
22,What is a semi-strophic song?,"Between strophic and through-composed, bit of the same music but also different in each stanza",A shorter strophic song,A song with motifs and ideas that seem to match each other but are not the same,A song with a repetitive melody that sometimes introduces new ideas,A song that has verses that are the same as each other
23,Where would the music be the same usually in a semi-strophic song?,"At the beginning of each stanza, being the most logical way to express identity","At the end of each stanza, being the best way to finish",In the middle of each stanza because that is where the listener feels secure and understands the music,At the beginning of the first stanza and the end of the second stanza,At the end of the first stanza and the beginning of the second stanza
24,Finzi: Which other composers have used this same text from Twelfth Night?,"Thomas Morley, Sullivan, Vaughan Williams, Charles Villers Stanford, Margaret Sutherland","Thomas Morley, Charles Dickens, Vaughan Williams, Margaret Sutherland","Donald Trump, Vaughan Williams, Charles Villers Stanford, Sullivan, Thomas Morley","Vaughan Williams, Shakespeare, Sullivan, Thomas Morley, Rudy Giuliani, Margaret Sutherland","Purcell, Sullivan, Margaret Sutherland, Finzi, Thomas Morley"
25,Finzi: What key is O mistress mine in?,Eb major,Bb major,E major,C minor,Db major
26,Finzi: Does O mistress mine ever modulate to another key?,No,Yes,"Yes, to all 7 billion of them",Nothing is impossible if you put your mind to it,Definitely
27,Finzi: How can the mood throughout most of the song be described?,Light-hearted and jaunty,Dysphoric and delusional,Anxious and irritable,Cheerful and bright,Melancholic and reflective
28,Finzi: O mistress mine is mostly diatonic except for where?,The final bars of each stanza where modal mixture is introduced,The opening bars of each stanza where the ideas are being introduced,The middle of each stanza,The bridges between the stanzas,China because they banned the import of diatonic
29,Finzi: Where does the mood change to become more reflective?,At the end of each stanza with the modal mixture,At the beginning of each stanza,At the beginning and the end of each stanza,When it nears the end of its life,In the middle of each stanza to add an element of surprise
30,Finzi: What does the right hand primarily consist of?,"A free, two-part texture with occasional thickening","A free, three-part texture with occasional thinning",A free flowing melody that occasionally thickens,"A restricted, two-part texture with occasional thickening",Five fingers and a palm
31,Finzi: What does the left hand primarily consist of?,A staccato 'vamping' accompaniment,A staccato unpredictable accompaniment,Long sustained notes from the chords,A walking bass line,A free flowing countermelody
32,Finzi: What is a consistent feature present in the left hand accompaniment?,A downward stepping motion from the second beat of the bar to the first beat of next bar,An upward stepping motion from the second beat of the bar to the first beat of the next bar,A downward stepping motion from the first to the second beat of the bar,Dominant tenths,An upward stepping motion from the first to the second beat of the bar
33,Finzi: How do the interlude and hte postlude compare to the introduction?,They are quite similar,They substantially differ as they share no common music,They are identical,They are not related to each other in any way,"They are much shorter, but make up for it in dynamics"
34,Finzi: Are the musical material from the vocal line and the piano part dependent on each other?,No they are relatively independent,Yes because they constantly imitate each other,Yes due to how the parts interlock and play together,"No but they do share a lot of the same ideas, so actually yes",Yes because they are both in a sticky financial situation due to the Coronavirus pandemic
35,Finzi: What type of text setting is the text?,Syllabic,Neumatic,Melismatic,Problematic,Dolichocephalic
36,Finzi: What is accountable for the subtle rhythm changes from stanza to stanza?,Natural declamation,Rubato,Natural tempo variation,Natural emphasisation,The incapable musician not being able to tap their foot
37,Finzi: How do the first lines of each stanza compare rhythmically?,Different in their natural speech rhythms and have a different number of syllables,They are the same,They share some rhythmic groupings,Different number of syllables but similar speech rhythms,Different in their natural speech rhythms but same number of syllables
38,Finzi: How does the piano accompaniment for the first lines of each stanza compare?,It is identical,They are in different keys,They are at different tempos,They are similar with a few note changes,"The piano isn't playing at that part, get pranked Laugh Out LOUD"
39,"Finzi: Does the highly flexible, natural text setting remain consistent throughout the song?",Yes,No,Maybe,Possibly,Naaaaaaaaaaah
40,Finzi: At what points in the stanzas are the piano accompaniment and the melody similar?,At the beginning and nearing the end,In the middle of both stanzas,In the final line of both stanzas,At the beginning of both stanzas,"Nowhere, because its a circle"
41,Finzi: Where is the only instance of direct imitation between the voice and the piano found?,At the very final line in each stanza,The first line of each stanza,The middle of the second stanza,At the end of the song,The beginning of the final stanza
42,Finzi: What changes occur in the final two lines in each stanza?,"Harmony shifts to parallel minor, accompaniment texture changes, pace slows, dramatic dynamic contrast","Harmony shifts to parallel minor, pace quickens, overall texture becomes more dense and dynamics increase","Harmony shifts up a major fifth, pace slows, accompaniment texture changes, dynamic contrast","Pace quickens, accompaniment texture thins, pace slows, dynamics dramatically softer",Nothing is changed here
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Where does the development begin?,Bar 90,,,,
