#,Question,Correct,Wrong,Wrong,Wrong,Wrong,
69,Mozart: In what bar does part 3 of the development begin?,Bar 90,Bar 82,Bar 88,Bar 102,Bar 92,
70,Mozart: By how much higher is each sequence than the model at the beginning of part 3 of the developement?,A perfect fourth,A perfect fifth,An octave,A tone,Out of the audible spectrum,
71,Mozart: The first two sequences in part 3 of the development express what cadence type?,V7-I,IV-I,I-V7,vi-vii,All of the above,
72,Mozart: What happens at bars 92-93 instead of the expected V7-I?,V7-VI,Viola,V7-I,I-V7,Vi7-vi,
73,Mozart: What key does the new theme in part 3 of the development work towards (at bars 93-97)?,D major,A major,B minor ,C major,All of the above,
74,"Mozart: The exposition's closing section is heard again at bars 97-100, but it is in which key?",D major,D minor,A major,B minor,E major,
75,Mozart: What is part 4 of the development usually called?,Retransition,Transition,Closing section ,End bit,The end of an old life but the beginning of a new one,
76,Mozart: What happens in part 4 of the development harmonically?,The dominant harmony in the tonic key is introduced,The subordinate melody in the tonic key is introduced,The subordinate themes are repeated in the harmonic parts,The dominant harmony in the dominant key is introduced,It has a solo,
77,Mozart: What two kinds of variation to the exposition can be expected in the recapitulation?,Decorative and Structural,Structural and Exploratory,Decorative and Festive,Notational and Structural,All of the above,
78,Mozart: What are decorative changes?,Variations to expression; no material change,Variations to material; no expressional change,Setting up a Christmas tree,Any substantially new or altered material,Ornamentations and trills added for interest,
79,Mozart: What are structural changes?,Any substantially new or altered material,Changes to the layout of the section,Different ideas replacing the old ones,Variations to expression; no material change,Like when a banana is genetically edited to become a pineapple,
80,"Mozart: The plan of the recapitulation is fairly similar to the plan of the exposition, except for what key difference?",Everything is now in the tonic,Everything is now in the dominant,Everything is now in a minor key,The structure of them are completely different,Its at the end instead of the beginning,
81,Mozart: What and where is the only difference in the main theme in the recapitulation?,"At bar 116, additional one-bar unit presented","At bar 118, additional one-bar unit presented","At bar 116, additional two-bar unit presented","At bar 120, additional four-bar unit presented",There is no difference,
82,Mozart: What is the main alteration in the transition of the recapitulation?,"A structural change at bar 123, which allows the rest of the transition to be in the tonic key","A decorative change at bar 123, which allows the rest of the transition to be in the tonic key",yeetus to the foetus,"A structural change at bar 125, which allows the rest of the transition to be in the tonic key","The key is changed, meaning that the listener is thrown off",
83,Mozart: Are there any surprises in the first subordinate theme in the recapitulation?,No,Yes,Maybe,None of the above because there is no such thing as a subordinate theme,Definitely possible but no because everything is not possibly definite,
84,Mozart: Are there any surprises in the second subordinate theme in the recapitulation?,Yes,No,Maybe,None of the above because there is no such thing as a subordinate theme,Definitely possible but possibly maybe because everything is not possibly definite,
85,Mozart: Does the closing section of the recapitulation differ from the closing section of the exposition and how?,"Yes, with some changes to octave reiger and two additional repeats of motive b","Yes, with some changes to the key and notation",No it doesn't,"Yes, it contains different melodic ideas",What's a closing section,
86,Finzi: What kind of song is this?,An English art song,A Lied,A pop song,An instrumental song,A British art song,
87,Finzi: How far back does the genre English art song go?,Late sixteenth to early seventeenth centuries,Late seventeenth to early eighteenth centuries,Late sixteenth to early eighteenth centuries,Late fifteenth to early sixteenth centuries,Back in my day,
88,Finzi: Lute songs by which composers are notable from the late sixteenth to early seventeenth centuries?,John Dowland and Thomas Campion,John Dowland and Henry Purcell,Ralph Vaughan Williams and Henry Purcell,Michael Jackson and Thomas Campion,John Dowland and William Walton,
89,Finzi: Whose works marked a high point in seventeenth century English music across all genres?,Henry Purcell,Ralph Vaughan Williams,Thomas Campion,Arnold Bax,Barack Obama,
90,Finzi: How did foreign influences come to dominate the musical landscape in England?,The importation of Italian opera and in the works of Handel,Uncontrolled immigration,Work opportunities attracting foreigners to England,Serious self-esteem issues on the part of English composers (most of which fell into a deep depression),Their music was more appealing to audiences in England,
91,Finzi: The solo songs in England were dominantly developing where?,From outside of England,In England,Oceania,Asia,The Americas,
92,Finzi: The German tradition of the Lied was a large influence on the English art song. Which composers were part of that genre?,"Franz Schubert, Robert Schumann, Felix Mendelssohn, Johannes Brahms","Robert Schumman, Johannes Brahms, Johann Sebastian Bach, Franz Schubert","Felix Mendehlssohn, Wolfgang Amadeus Mozart, Johann Wolfgang Beethoven, Robert Schumann","Franz Schubert, Roberto Schumann, Felix Mendelssohn, Johann's Bras","Franz Schubert, Felix Mendelssohn, Johannes Brahms, William Shakespeare",
93,Finzi: What factors led to a period termed by some as the 'English musical Renaissance'?,"A growing sense of national awareness amongst English musicians, supported by a folk-song revival movement",A growing sense of national identity and confidence amongst musicians in England,An increase in English composers in England at the time creating more music,Foreign composers claiming to be English immigrating to England and composing masterpieces,A growing sense of national awareness that encouraged people to write less music,
94,Finzi: What kinds of music were rediscovered in the 'English musical Renaissance'?, 'Pre-Handelian' English music (court music) and British folk music,"Jazz music, especially the elevator variety",British folk music and renaissance music,Renaissance music and 'Pre-Handelian' English music (court music),Pre-Bachian' English music and British folk music,
95,Finzi: Examples of twentieth century composers that were beneficiaries of the re-emergence of English music after foreign domination:,"Ralph Vaughan Williams, John Ireland, Arnold Bax, William Walton, Benjamin Britten","John Ireland, Benjamin Britten, Franz Schubert, Mark Walton, Arnold Bax","William Walton, Ralph Vaughan Williams, Henry Purcell, Benjamin Britten, Arnold Bax","Ralph Vaughan Williams, John Coltrane, Arnold Bax, Benjamin Britten, Miles Davis","Ralph Vaughan Williams, John England, Arnold Bax, William Waton, Benjamin Britain",
96,Finzi: Examples of important English poets whose texts were set to music include:,"Shakespeare, Milton, Wordsworth, Coleridge, Hardy","Shakespeare, Dickens, Coleridge, Hardy, Wordsworth","Keats, Milton, Shakespeare, Donne, Wordsworth","Blake, Wordsworth, Hardy, Keats, Shakespeare","John Lennon, Paul McCartney, Ringo Starr, George Harrison",
97,Finzi: What instrumentation is an art song comprised of?,Solo voice and instrumental accompaniment,String orchestra and soloist,Solo voice,Solo instrument and instrumental accompaniment,A chamber choir with a string quartet,
98,Finzi: How many short cycles of songs did Finzi compose?,At least 8,8,At least 24,10,16,
99,Finzi: From which English poet is Finzi's Let us garlands bring's text from?,Shakespeare,Coleridge,Hardy,Milhouse,Wordsworth,
100,Finzi: Which of Shakespeare's plays is O mistress mine from?,Twelfth Night,Macbeth,Romeo and Juliet,A Midsummer Night's Dream,Hamlet,
101,Finzi: How many six-line stanzas (sextains) are there in the text?,2,4,6,17.3,8,
102,Finzi: What kind of rhyme scheme do the sextains have?,aabccb,abacad,aaaaaa,ababab,abcabc,
103,Finzi: How is the form of the song best described?,Semi-strophic,Strophic,Through-composed,Sonata form,Binary form,
104,Finzi: What happens to the cadence at the end of each stanza?,It is elided with the commencement of the next piano section,It is replaced with a sequence that leads to the commencement of the next piano section,It is an imperfect cadence which leads nicely to the next section,It is repeated except changed so it becomes a 'second go',The performer forgets about it because they have a mental blank and can't remember how to play their instrument,
105,What is a strophic song?,Each stanza is set to the same music,No substantial repitition of music for each stanza,A song without words,A song with a very repetitive melody,A song with a very repetitive harmony,
106,What is a through-composed song?,No substantial repitition of music for each stanza,Each stanza is set to the same music,A song without words,A very thoroughly composed piece of music,A song that has little to no repitition in it,
107,What is a semi-strophic song?,"Between strophic and through-composed, bit of the same music but also different in each stanza",A shorter strophic song,A song with motifs and ideas that seem to match each other but are not the same,A song with a repetitive melody that sometimes introduces new ideas,A song that has verses that are the same as each other,
108,Where would the music be the same usually in a semi-strophic song?,"At the beginning of each stanza, being the most logical way to express identity","At the end of each stanza, being the best way to finish",In the middle of each stanza because that is where the listener feels secure and understands the music,At the beginning of the first stanza and the end of the second stanza,At the end of the first stanza and the beginning of the second stanza,
109,Finzi: Which other composers have used this same text from Twelfth Night?,"Thomas Morley, Sullivan, Vaughan Williams, Charles Villers Stanford, Margaret Sutherland","Thomas Morley, Charles Dickens, Vaughan Williams, Margaret Sutherland","Donald Trump, Vaughan Williams, Charles Villers Stanford, Sullivan, Thomas Morley","Vaughan Williams, Shakespeare, Sullivan, Thomas Morley, Rudy Giuliani, Margaret Sutherland","Purcell, Sullivan, Margaret Sutherland, Finzi, Thomas Morley",
110,Finzi: What key is O mistress mine in?,Eb major,Bb major,E major,C minor,Db major,
111,Finzi: Does O mistress mine ever modulate to another key?,No,Yes,"Yes, to all 7 billion of them",Nothing is impossible if you put your mind to it,Definitely,
112,Finzi: How can the mood throughout most of the song be described?,Light-hearted and jaunty,Dysphoric and delusional,Anxious and irritable,Cheerful and bright,Melancholic and reflective,
113,Finzi: O mistress mine is mostly diatonic except for where?,The final bars of each stanza where modal mixture is introduced,The opening bars of each stanza where the ideas are being introduced,The middle of each stanza,The bridges between the stanzas,China because they banned the import of diatonic,
114,Finzi: Where does the mood change to become more reflective?,At the end of each stanza with the modal mixture,At the beginning of each stanza,At the beginning and the end of each stanza,When it nears the end of its life,In the middle of each stanza to add an element of surprise,
115,Finzi: What does the right hand primarily consist of?,"A free, two-part texture with occasional thickening","A free, three-part texture with occasional thinning",A free flowing melody that occasionally thickens,"A restricted, two-part texture with occasional thickening",Five fingers and a palm,
116,Finzi: What does the left hand primarily consist of?,A staccato 'vamping' accompaniment,A staccato unpredictable accompaniment,Long sustained notes from the chords,A walking bass line,A free flowing countermelody,
117,Finzi: What is a consistent feature present in the left hand accompaniment?,A downward stepping motion from the second beat of the bar to the first beat of next bar,An upward stepping motion from the second beat of the bar to the first beat of the next bar,A downward stepping motion from the first to the second beat of the bar,Dominant tenths,An upward stepping motion from the first to the second beat of the bar,
118,Finzi: How do the interlude and hte postlude compare to the introduction?,They are quite similar,They substantially differ as they share no common music,They are identical,They are not related to each other in any way,"They are much shorter, but make up for it in dynamics",
119,Finzi: Are the musical material from the vocal line and the piano part dependent on each other?,No they are relatively independent,Yes because they constantly imitate each other,Yes due to how the parts interlock and play together,"No but they do share a lot of the same ideas, so actually yes",Yes because they are both in a sticky financial situation due to the Coronavirus pandemic,
120,Finzi: What type of text setting is the text?,Syllabic,Neumatic,Melismatic,Problematic,Dolichocephalic,
121,Finzi: What is accountable for the subtle rhythm changes from stanza to stanza?,Natural declamation,Rubato,Natural tempo variation,Natural emphasisation,The incapable musician not being able to tap their foot,
122,Finzi: How do the first lines of each stanza compare rhythmically?,Different in their natural speech rhythms and have a different number of syllables,They are the same,They share some rhythmic groupings,Different number of syllables but similar speech rhythms,Different in their natural speech rhythms but same number of syllables,
123,Finzi: How does the piano accompaniment for the first lines of each stanza compare?,It is identical,They are in different keys,They are at different tempos,They are similar with a few note changes,"The piano isn't playing at that part, get pranked Laugh Out LOUD",
124,"Finzi: Does the highly flexible, natural text setting remain consistent throughout the song?",Yes,No,Maybe,Possibly,Naaaaaaaaaaah,
125,Finzi: At what points in the stanzas are the piano accompaniment and the melody similar?,At the beginning and nearing the end,In the middle of both stanzas,In the final line of both stanzas,At the beginning of both stanzas,"Nowhere, because its a circle",
126,Finzi: Where is the only instance of direct imitation between the voice and the piano found?,At the very final line in each stanza,The first line of each stanza,The middle of the second stanza,At the end of the song,The beginning of the final stanza,
127,Finzi: What changes occur in the final two lines in each stanza?,"Harmony shifts to parallel minor, accompaniment texture changes, pace slows, dramatic dynamic contrast","Harmony shifts to parallel minor, pace quickens, overall texture becomes more dense and dynamics increase","Harmony shifts up a major fifth, pace slows, accompaniment texture changes, dynamic contrast","Pace quickens, accompaniment texture thins, pace slows, dynamics dramatically softer",Nothing is changed here,
128,Schubert: What is the instrumentation of the piece?,Voice and piano,Solo instrument and piano,Orchestra,String quartet,Two pianos,
129,Schubert: What does Frühlingstraum mean?,Spring dream,Winter dream,Fruity Plum,Violin,Autumn dream,
130,Schubert: What kind of song is it?,An art song,A pop song,hell nah,A sing song sang sung,An instrumental song,
131,Schubert: What is D. 911,Catalogue of his works,A random letter followed by a number,"Doomsday, 911 incident",His 911th work,A magazine catalogue,
132,Schubert: Who wrote the text for the work?,Wilhelm Müller,J.K. Rowling,Marcus Hildebrandt,Leo,Morenz Bittermann,
133,Schubert: What does Lied mean in German?,Song,Piece,Music,Piano,Past tense for 'lie',
134,Schubert: How many songs are in the set called Winterreise?,24,11,16,4,911,
135,Schubert: In which place is Frühlingstraum in the set called Winterreise?,11th,12th,24th,2nd,DNF,
136,Schubert: What does Lied mean as a musical genre designation?,A song set to German text,A song set to Italian text,A piece of music with words,Words with a piece of music,A piece with words of music,
137,Schubert: How far back in time do Lied go?,The Middle Ages,Jesus times,The Renaissance,The Dark Ages,Prehistoric times (e.g. dinosaur),
138,Schubert: In what time period did Lied develop to widespread recognition?,The nineteenth century,Jesus times,The eighteenth century,10 minutes,The seventeenth century,
139,Schubert: The devleopment of the Lied into widespread recognition had its roots where?,The second half of the eighteenth century,The first half of the eighteenth century,In the ground,The second half of the seventeenth century,The first half of the nineteenth century,
140,Schubert: What are the main reasons for the development of Lied into widespread recognition?,"The growth of German as a literary language, and how language can help social cohesion",The growth of Nazi Germany and Hitler's mo,"The growth of German as a literary language, and the development of Germany into a first-world nation","The spread of European music across the world, and how language can help social cohesion","Food from Germany becoming more popular around the world, and the love of their toilets",
141,Schubert: Who was at the forefront of the development of Lied into widespread recognition?,Johann Wolfang von Goethe,Johann Sebastian Bach,Heinrich Mitter,Elmar Preiszner,Ralf Reiter,
142,Schubert: What idea was developed by Johann Gottfried Herder?,Language is the most powerful determinant of social cohesion,Music is the most powerful determinant of social cohesion,The reason for the combination of music and language is that it sounds good,That German food is tasty,Language is the key tool of communication within a society,
143,What happened to Joe mama?,They changed their last name to papa,They changed their last name to Biden,Died in a hole R.I.P.,Stopped practising saxophone so got spanked,Joe,
144,Schubert: Whyy were peasants interested in Lied?,The idea that Lied united everyone into one class,Lied gave them an opportunity to become rich performing it,Lied let them understand what it was like to be in the upper class,Peasants had a natural musical aptitude and therefore found it easier to learn and play,They had nothing else to do,
145,Hello,Goodbye,Die,Why,Hi,Sigh,
146,Schubert: Why was much of the German poetry written in the early stages try to disconnect from the sophistication of the town/city?,"Town dominated by Italian opera, didn't want that style of music",Town dominated by Italian opera so they tried to rip it off outside of town,"The town was dominated by French opera, didn't want that style of music","Town was dominated by German opera, but they didn't want that genre of music",The sophistication of the urbanised areas did not suit the lifestyle of the peasants,
147,Schubert: The striving of German poetry during late 18th to early 19th Centuries toward oral folk traditions was for what purpose?,People wanted an art that was unmediated by artificial formal conventions,People wanted music that had no connection to the music of the wealthy,To revive folk music as it was very popular when it was around,To remember and respect the ancestors of their music,People wanted an art form that was not influenced by wealth or power,
148,Schubert: The urges for an art that was unmediated by artificial conventions (e.g. Italian opera) was amplified by what?,The emerging Romantic movement,The emerging classical movement,The emerging jazz movement,Donald Trump's unwillingness to back down,The emerging renaissance movement,
149,Schubert: What did the emerging Romantic movement emphasise?,Unfettered expressions of feeling and emotion rather than the abstract appreciation of form,Undisturbed expressions of abstract appreciation of form rather than those of feeling and emotion,The serious lack of aid provided by developed countries to developing countries,Expressive techniques that were unique to the Romantic movement,The emerging Romantic composers,
150,Schubert: What kind of feeling could this kind of music inspire in the individual?,Feelings of the power of nature and awe and wonder,Feelings of the power of nature and resentment towards it,Feelings of the weakness of nature and its dependence on humankind,The awe and wonder inspired by a burrito,How bad BTS is at making music (jk they don't make music),
151,Schubert: What effect did the growing availability and popularity of the piano have on the development of the Romantic Lied?,"Led to the increasing numbers of German Lied being produced, due to presence in peoples' homes",Led to a serious shortage of piano teachers,Led to a boom in the musical instrument manufacturing industry,Led to the increasing numbers of German Lied being produced due to the lack of piano teachers,Led to increasing numbers of home insurance claims due to the increased presence of pianos in peoples' homes,
152,Schubert: What caused composers to elevate the piano's role to support the text in Lied?,The capacity for the piano to provide a level of inflection and subtlety not achievable on harpsichord,The capacity for the harpsichord to provide a level of inflection and subtelty not achievable on a piano,The ability of the piano to play a variety of note durations and dynamics not achievable on a harpsichord,The way the piano is able to play in a much larger range not achievable on harpsichord,The ability to open the lid of the piano which is a cool function,
153,Schubert: Who was the first composer to realise the potential for a fusion of German poetic setting and sophisticated accompaniment,Schubert,Mozart,Bach,Finzi,Xi Jinping,
154,Schubert: How many Lieder did Schubert compose in his career?,Over 600,Over 800,Under 100,Under 600,Over 1000,
155,Schubert: How are song cycles unified?,"All the songs are composed by the same composer, words from same poet, and have references to a particular theme or tell the same story","All the songs were composed by the same composer but the words were from different poets, and the dynamics were the same","The songs were composed by different composers and the words are composed by different poets, and the story is different","A binder, maybe some paper clips or staples","By recurring motifs and ideas, also by using the same modes/keys",
156,Schubert: Who was the first composer to link individual Lieder together into unified collections?`,Beethoven,Mozart,Finzi,Schubert,Xi Jinping,
157,Schubert: What was Beethoven's first song cycle?,An die ferne Geliebte Op. 98,Seufzer eines Ungeliebten - Gegenliebe WoO 118,"Liederkreis, Op. 39",Dichterliebe,"The Dark Side of the Moon, Op. Pink Floyd",
158,Schubert: How many different approaches to a song cycle emerged?,Two,Three,Four,One,Ten,
159,Schubert: What was Beethoven's approach to song-cycles?,Link the songs  by explicit recollection of musical motives between certain of the individual numbers,Link the songs by using a consistent range of dynamics and expressive techniques throughout the songs,Link the songs through the use of musical ideas that remained the same throughout every song,Present the songs as musically independent numbers and allow the narrative relationship to be more implicit,Link the songs as musically reliant variables on the dominant seventh dimished chord of the tonic mode major key,
