#,QUESTIONS,CORRECT,INCORRECT,,,
17,What is the form of the song?,Semi-strophic,Modified strophic,Simple strophic,Binary,
18,What are the stanzas framed by?,"A piano inroduction, interlude and postlude","A piano introduction, interlude and voice+piano postlude","A voice+piano introduction, interlude and postlude","A voice introduction, voice+piano interlude, voice postlude",
19,What key is the piece in?,E flat major,A flat major,E major,F major,
20,What key does O Mistress Mine modulate to?,It does not modulate,C minor,The parallel minor,G minor,
21,How is the melody written?,Mostly diatonic except for the end of each stanza where a modal mixture is introduced,Mostly chromatic except for the end of each stanza where it becomes diatonic,All diatonic,Mostly diatonic except for the end of the piece where a modal mixture is introduced,
22,What is the mood of the piece?,Light-hearted and jaunty but becomes more reflective as modal mixture is introduced,Reflective but becomes more light-hearted and jaunty as modal mixture is introduced,Light-hearted and jaunty,Reflective,
23,Which syllables does Finzi ensure land on the first beat of the bar?,Stressed,Unstressed,Both,jUst rAndOm syLLaBLeS,
24,Where are the only instances of direct imitation found?,At the end of each stanza between the voice and the piano,At the beginning of each stanza between the voice and the piano,There are no instances of direct imitation in the piece,At the end of the piece between the voice and the piano,
25,Describe the texture of the accompaniment at the end of the each stanza.,"Legato articulation and longer note values, slower pace, and dramatic contrast of dynamics.","Staccato articulation and shorter note values, faster pace, no contrast of dynamics.","Legato articulation and longer note values, slower pace, less contrast of dynamics.","Legato articulation and shorter note values, slower pace and dramatic contrast of dynamics.",
26,Describe the cadence at the end of each stanza?,It is joined with the commencement of the next piano section (interlude/postlude),It is separated from the next piano section (interlude/postlude),It is joined with the commencement of the next stanza,It is joined with a four-bar outro of sorts before the interlude/postlude commences,
27,In what way is the piece flexible and natural?,The voice sets the text differently in each stanza while the accompaniment stays the same.,The accompaniment is different in each stanza while the voice stays the same.,"The voice sets the text differently in each stanza, just like the accompaniment.","The voice and accompaniment stay the same, but rubato and ornaments are used.",
28,"Generally, what is the role of the Piano in Art songs?",Shares prominence with the vocal part,Secondary to the vocal part,Ternary to the vocal part,Primary above the vocal part,Quaternary to the vocal part
29,Let us garlands bring is a set of how many songs?,Five,Thirteen,Eight,Eleven,
30,What does Allegretto amabile mean?,Moderately fast and pleasant,Not too fast and pleasant,Very fast and unpleasant,Walking pace and pleasant,
31,Which of the following is NOT a stylistic characteristic of the song?,Use of raised 7th notes in minor keys,Some dissonance and occasional use of parallel 5ths to the bass,Irregular phrase lengths and syncopation and changes of meter,Angular melodies (at times),
32,What does sempre staccato mean?,Always detached,Never detached,The Ravenswood magazine,Very detached,
33,What key is the piano part in?,E flat major,E flat minor,A major,A minor,
34,Which of the following techniques does Finzi NOT use in the song?,Chromatic harmony,Imitation,Counterpoint,Diatonic harmony,
35,What kind of techniques does Finzi deliberately use in the song?,Techniques associated with earlier music styles from Shakespeare's time,Techniques ahead of Finzi's time,Techniques associated with earlier styles such as Classical,Techniques associated with Kpop,
36,What is the underlying message of the song?,To seize life's joys and pleasures while you can,To be yourself,To pursue your dreams,To listen to BTS,
38,Which of the following is NOT part of the change in texture at the end of each stanza?,Faster,Broader,Denser,Slower,
39,Who is the piece sung by?,"Feste, the jester in the court of Countess Olivia","Countess Olivia, to her jester, Feste","Feste, the brother of Countess Olivia","Feste, the father of Countess Olivia",
